SKU,categoria,color,id_campaign,id_product,condicion,nombre,coleccion,foto,edicion,talla_etiqueta,talla_estimada,marca,composicion,precio,descripcion,problema,ancho de hombros (AHO),contorno de busto (CBU),contorno de cintura (CCI),largo de mangas (LMA),largo total (LTT),contorno de cadera (CCA),largo de tiro (LTI),largo de planta (LPL),alto de taco (ATA),alto (ALT),largo (LRG),ancho (ANC),contorno interno (CIN),diámetro interno (DIN),peso_envio,medidas_envio
BLU-VRD-2021004-001,BLU,VRD,2021004,001,usado,,,TRUE,TRUE,2X,,Worthington,95 poliéster / 5 spandex,$10.000,,,,,,,,,,,,,,,,,265,
BLU-MLT-2021004-002,BLU,MLT,2021004,002,usado,Blusa puntitos multicolor,,TRUE,TRUE,,XL,,viscosa,$8.000,"Alegre blusa con estampado de polka dots multicolor. Si bien no trae composición, impresiona de fresca viscosa, ideal para el verano.",Tiene dos pequeñas y tenues manchitas en el pecho.,45,134,128,27,82,,,,,,,,,,170,
BLU-AZL-2021004-003,BLU,AZL,2021004,003,usado,,,TRUE,TRUE,34,,Grand Design,100 poliéster,$12.000,,,,,,,,,,,,,,,,,75,
BLU-AZL-2021004-004,BLU,BLN,2021004,004,usado,Blusa flores pastel,,TRUE,TRUE,M,M,Classic,100 rayón,$12.000,"Tierna blusa con estampado floreado en un fondo amarillo pastel. De fresco y liviano rayón, sin mangas, ideal para el verano.",,42,108,106,,60,,,,,,,,,,100,
BLU-BLN-2021004-005,BLU,MLT,2021004,005,usado,Blusa verde romántica,,TRUE,TRUE,10,M,Alfred Dunner,100 poliéster,$12.000,"Romántica blusa vintage, con estampado floreado y de amebas. Tiene un cuello tipo camisero y pretina elasticada.",,40,104,108,25,62,,,,,,,,,,145,
BLU-AZL-2021004-006,BLU,AZL,2021004,006,usado,Blusa bicolor,,TRUE,TRUE,L,ML,Joie,100 rayón,$14.000,"Elegante blusa bicolor azul y negro, de liviano rayón, ideal para usar en media temporada.",,41,100,104,64,65,,,,,,,,,,180,
BLU-NGR-2021004-007,BLU,NGR,2021004,007,usado,Tapado van Gogh,,TRUE,TRUE,,M,,,$12.000,"Hermoso y liviano tapado de manga corta, ideal para esas tardes más frescas de verano. Tiene un hermoso estampado de flores impresionista sobre fondo negro. Impresiona estar hecho a mano. Si bien no trae composición, el exterior parece ser de poliéster y su forro interior de una mezcla de seda y algodón.",,39,110,116,31,62,,,,,,,,,,220,
BLZ-RJO-2021004-008,BLZ,RJO,2021004,008,usado,Blazer terracota,,TRUE,TRUE,2,M,,100 poliéster,$16.000,Precioso blazer color terracota hecho en París. De corte sencillo y atemporal.,Tiene un pequeñísimo piquete en su borde inferior frontal.,45,108,98,54,73,,,,,,,,,,420,
BLZ-MLT-2021004-009,BLZ,MLT,2021004,009,usado,Tapado Flora,,TRUE,TRUE,,M,Tides,100 algodón,$16.000,"Hermoso y primaveral tapado con estampado floral en tonos rojo, azul, negro y gris. Tiene una hermosa y gran solapa delantera y mangas un poquito aglobadas. De liviano algodón, ideal para esas tardes de verano.",,41,112,112,40,56,,,,,,,,,,165,
BLZ-AZL-2021004-010,BLZ,AZL,2021004,010,usado,Blazer indian chic,,TRUE,TRUE,,S,,,$28.000,"Increíble blazer vintage con estampado de patrón geométrico en tonos azul y blanco. De corte setentero e impactantes botones nacararados. Impresiona confeccionada de lino y algodón, con forro de viscosa.",,40,90,82,51,70,,,,,,,,,,825,
CHL-NGR-2021004-011,CHL,NGR,2021004,011,usado,Chaleco Peonia,,TRUE,TRUE,L,L,Peonia,70 lana / 20 angora / 10 nylon,$24.000,"Clásico chaleco vintage de color negro con elegante bordado de mostacillas y lentejuelas con un patrón floreado. Su composición lo hace liviano y abrigado, ideal para usar todo el año.",,50,112,110,70,75,,,,,,,,,,290,
CHL-MLT-2021004-012,CHL,MLT,2021004,012,usado,Chaleco Ranco,,TRUE,TRUE,,L,,,$22.000,"Hermoso chaleco sin mangas, de lana tejido a palillo, de hermosos colores y patrón geométrico. Será tu mejor compañero en esas tardes de verano, tomando tecito en el sur, al borde del lago.",,50,118,118,,59,,,,,,,,,,280,
CHL-BLN-2021004-013,CHL,BLN,2021004,013,usado,Chaleco Navigare,,TRUE,TRUE,L,L,Navigare,50 lana / 50 acrílico,$22.000,Hermoso chaleco amarillo pastel hecho en Italia de corte oversize. Tiene un hermoso patrón trenzado por el frente.,,61,114,110,57,70,,,,,,,,,,615,
VST-RJO-2021004-014,VST,RJO,2021004,014,usado,,,TRUE,TRUE,,,,100 poliéster,$22.000,,,,,,,,,,,,,,,,,250,
VST-BYN-2021004-015,VST,BYN,2021004,015,usado,Vestido Ágata,,TRUE,TRUE,XL,S,Sisjuly,100 poliéster,$18.000,"Divertido vestido negro con diseño de gran flor blanca que esconde un pequeño bolsillo en su parte delantera. Modelo liviano, ideal para ocupar en media temporada.",,38,90,96,62,90,102,,,,,,,,,250,
VST-NGR-2021004-016,VST,NGR,2021004,016,usado,Vestido tulipán,,TRUE,TRUE,4,XS,XS,100 poliéster,$16.000,Romántico vestido de pavilos de color negro con estampado de flores moradas. Tiene cierre invisible en la espalda y breteles regulables.,Tiene un pequeñísimo punto corrido en la parte delantera.,,82,70,,117,100,,,,,,,,,275,
VST-RSD-2021004-017,VST,RSD,2021004,017,usado,Vestido sandía,,TRUE,TRUE,40,S,Yessica,65 poliéster / 35 algodón // 100 poliamida,$24.000,Divertido vestido color sandía de los años 80. Tiene dos bolsillos y hermoso botón decorativo en el pecho. La cintura es elasticada y se extiende hasta los 80 centímetros de contorno. Su forro interior le otorga volumen a la falda.,,38,90,72,43,97,,,,,,,,,,345,
VST-BYN-2021004-018,VST,BYN,2021004,018,usado,Vestido Gilda,,TRUE,TRUE,44,L/XL,Gila Grunert,100 viscosa // 100 poliamida,$26.000,"Precioso vestido hecho en Alemania, con estampado de flores blancas en fondo negro. Su tela liviana y suave le otorga una preciosa caída. Su cintura es elasticada y da hasta 94 centímetros de contorno. Tiene pasadores para cinturón.",,43,116,86,36,128,134,,,,,,,,,440,
VST-MLT-2021004-019,VST,MLT,2021004,019,usado,Vestido Laura,,TRUE,TRUE,40,M,Canda,100 poliéster,$24.000,"Coqueto vestido de los años 80 con estampado de flores multicolor en fondo negro. Su forma simula una chaqueta de corte cruzado con cintura peplum y falda tubo, pero es una sola pieza.",,44,106,76,44,108,108,,,,,,,,,270,
VST-MLT-2021004-020,VST,MLT,2021004,020,usado,Vestido Eloísa,,TRUE,TRUE,50,XL,Canda,97 poliéster / 3 metal // 70 acetato / 30 nylon,$24.000,Increíble vestido de fiesta con estampado de plumas doradas y detalles de hilos brillantes sobre fondo negro. Tiene cierre invisible por la espalda.,,48,126,102,32,150,140,,,,,,,,,410,
VST-AZL-2021004-021,VST,AZL,2021004,021,usado,Vestido Marina,,TRUE,TRUE,,M,,,$22.000,"Precioso vestido tipo jumper vintage de color azul con líneas verticales blancas, con cierre invisible al costado. No tiene etiqueta de orígen ni compisción, pero impresiona hecho a mano. Su tela es similar a una gabardina.",,42,98,86,,98,116,,,,,,,,,400,
VST-MLT-2021004-022,VST,MLT,2021004,022,usado,Vestido Suni,,TRUE,TRUE,36,S,Nana Suni,100 algodón,$32.000,"Increíble vestido vintage hecho en Finlandia, de puro algodón. Es un modelo clásico de los años 70, como un verdadero tesoro vintage. Su cintura es elasticada y da hasta los 96 centímetros. Incluye un cinto de la misma tela.",,43,104,60,30,140,130,,,,,,,,,255,
VST-MLT-2021004-023,VST,MLT,2021004,023,usado,Vestido Roberta,,TRUE,TRUE,12,ML,Petite Sophisticate,100 poliéster // 100 poliéster,$16.000,"Vestido tipo jumper largo, clásico de los años 90. Es de gaza semitransparente con forro interior azul marino. Tiene cierre invisible por el costado.",,38,100,90,,124,112,,,,,,,,,255,
PNT-CFE-2021004-024,PNT,CFE,2021004,024,usado,Pantalón Lorenza,,TRUE,TRUE,42,XS,Nesconf,100 lana,$28.000,"Elegante pantalón italiano de lana, de tiro alto, con pinzas delanteras. Tiene cierre por el costado. Está en una increíble condicióin, incluso con su etiqueta de orígen.",,,,66,,101,92,31,,,,,,,,270,
PNT-GRS-2021004-025,PNT,GRS,2021004,025,usado,,,TRUE,TRUE,,XS,,,$18.000,,,,,68,,101,102,31,,,,,,,,230,
PNT-AZL-2021004-026,PNT,AZL,2021004,026,usado,Mom jeans Mónica,,TRUE,TRUE,27,XS,Byblos Blu,100 algodón,$28.000,"Increíble mom jeans de la marca intaliana Byblos Blu. De tiro alto, mezclilla rígida y calce perfecto. Todo lo que sueñas de un mom jeans vintage.",,,,68,,96,86,29,,,,,,,,465,
FLD-NGR-2021004-027,FLD,NGR,2021004,027,usado,Falda dark velvet,,TRUE,TRUE,42,S,Options,95 algodón / 5 lycra,$16.000,"Coqueta minifalda de velvet negro, de tiro alto y tela elasticada que se ajusta de manera perfecta a tu cuerpo.",,,,68,,48,82,,,,,,,,,170,
FLD-MLT-2021004-028,FLD,MLT,2021004,028,usado,Falda conchitas de mar,,TRUE,TRUE,,L,,,$12.000,Encantadora falda de algodón con estampado de conchitas y estrellas de mar en distintos colores. Se abotona por el frente.,Tiene pequeñas manchitas en la parte posterior.,,,78,,68,106,,,,,,,,,170,
FLD-NVY-2021004-029,FLD,NVY,2021004,029,usado,,,TRUE,TRUE,14,,Worthington,50 poliéster / 50 rayón,$16.000,,,,,,,,,,,,,,,,,410,
FLD-MLT-2021004-030,FLD,MLT,2021004,030,usado,Falda-pantalón Mariana,,TRUE,TRUE,40,S,Marianne David,100 algodón,$18.000,"Hermosa y cómoda falda-pantalón con estampado geométrico tipo cuadrillé. Tiene un bolsillo único al costado derecho, cierre al costado izquierdo, y finos pasadores para un cinturón delgado.",,,,70,,66,100,,,,,,,,,260,
