Permalink,Name,Description,Meta Title,Meta Description,Width,Length,Height,Brand,Barcode,Categories,Images,Digital,Featured,Status,SKU,Weight,Stock,Stock Unlimited,Price,Custom Field 1 Label,Custom Field 1 Value,Custom Field 1 Type,Custom Field 2 Label,Custom Field 2 Value,Custom Field 2 Type,Custom Field 3 Label,Custom Field 3 Value,Custom Field 3 Type,Google Product Category
,Falda Luciana,<p><b>Descripción:</b> Clásica falda de lana de patrón espiga en tonos café y blanco. Cuenta con pinzas a la cintura e incluye forro. </p><p><b>Marca:</b> Luciana Zuffi</p><p><b>Talla estimada:</b> XS</p><p><b>Talla etiqueta:</b> 42</p><p><b>Medidas:</b> contorno de cintura: 66 cm / largo total: 53 cm / contorno de cadera: 92 cm</p><p><b>Composición:</b> 100% lana</p><p><b>Composición del forro:</b> 60% acetato / 40% viscosa</p>,,Clásica falda de lana de patrón espiga en tonos café y blanco. Cuenta con pinzas a la cintura e incluye forro.,11,11,11,Luciana Zuffi,,"Productos,Productos / Faldas & Shorts","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-BGE-2021003-001-9.jpg",NO,NO,disabled,FLD-BGE-2021003-001,0.31,1,NO,14000,color,beige,selection,talla,XS,selection,condición,usado,selection,Apparel & Accessories > Clothing > Skirts
,Falda Harvé,"<p><b>Descripción:</b> Clásica falda de lana con estampado Príncipe de Gales en tonos burdeo y azul marino en un fondo mostaza. Incluye pasadores para cinturón, bolsillos y forro. </p><p><b>Marca:</b> Harvé Benard</p><p><b>Talla estimada:</b> M</p><p><b>Talla etiqueta:</b> 12</p><p><b>Medidas:</b> contorno de cintura: 78 cm / largo total: 74 cm / contorno de cadera: 104 cm</p><p><b>Composición:</b> 100% lana</p>",,"Clásica falda de lana con estampado Príncipe de Gales en tonos burdeo y azul marino en un fondo mostaza. Incluye pasadores para cinturón, bolsillos y forro.",13,13,12,Harvé Benard,,"Productos,Productos / Faldas & Shorts","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-CFE-2021003-002-9.jpg",NO,NO,disabled,FLD-CFE-2021003-002,0.475,1,NO,20000,color,café,selection,talla,M,selection,condición,usado,selection,Apparel & Accessories > Clothing > Skirts
,Falda Annika,"<p><b>Descripción:</b> Increíble falda tableada vintage de lana, con delicado estampado floral y pasadores para un cinturón delgado. Liviana, ideal para la media estación. </p><p><b>Marca:</b> Mode Annika</p><p><b>Talla estimada:</b> XS</p><p><b>Medidas:</b> contorno de cintura: 66 cm / largo total: 70 cm / contorno de cadera: 94 cm</p><p><b>Composición:</b> 95% lana / 5% nylon</p><p><b>Composición del forro:</b> 68% acetato / 32% viscosa</p>",,"Increíble falda tableada vintage de lana, con delicado estampado floral y pasadores para un cinturón delgado. Liviana, ideal para la media estación.",11,11,11,Mode Annika,,"Productos,Productos / Faldas & Shorts","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-MLT-2021003-003-9.jpg",NO,NO,disabled,FLD-MLT-2021003-003,0.31,1,NO,24000,color,multicolor,selection,talla,XS,selection,condición,usado,selection,Apparel & Accessories > Clothing > Skirts
,Falda Heather,<p><b>Descripción:</b> Elegante falda tableada de color negro hecha en Escocia. Incluye forro. </p><p><b>Marca:</b> Land's End</p><p><b>Talla estimada:</b> XS</p><p><b>Talla etiqueta:</b> 6</p><p><b>Medidas:</b> contorno de cintura: 66 cm / largo total: 82 cm / contorno de cadera: 104 cm</p><p><b>Composición:</b> 100% lana</p><p><b>Composición del forro:</b> 100% acetato</p>,,Elegante falda tableada de color negro hecha en Escocia. Incluye forro.,15,14,14,Land's End,,"Colecciones,Colecciones / Back to Basic,Productos,Productos / Faldas & Shorts","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/FLD-NGR-2021003-004-9.jpg",NO,NO,disabled,FLD-NGR-2021003-004,0.695,1,NO,24000,color,negro,selection,talla,XS,selection,condición,usado,selection,Apparel & Accessories > Clothing > Skirts
,Mom jeans clásico,"<p><b>Descripción:</b> Clásico mom jeans de algodón rígido, de corte recto y tiro medio. </p><p><b>Marca:</b> Vagabond</p><p><b>Talla estimada:</b> 38</p><p><b>Medidas:</b> contorno de cintura: 76 cm / largo total: 98 cm / contorno de cadera: 96 cm / largo de tiro: 29 cm</p><p><b>Composición:</b> 100% lana</p>",,"Clásico mom jeans de algodón rígido, de corte recto y tiro medio.",15,15,15,Vagabond,,"Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-AZL-2021003-005-9.jpg",NO,NO,disabled,PNT-AZL-2021003-005,0.8,1,NO,24000,color,azul,selection,talla,38,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Pantalón Fusco,"<p><b>Descripción:</b> Cómodo pantalón vintage de color café y suave textura. De tiro alto, con cierre al costado, pinzas en la cintura y bolsillos delanteros. </p><p><b>Marca:</b> Antonio Fusco</p><p><b>Talla estimada:</b> XS</p><p><b>Medidas:</b> contorno de cintura: 68 cm / largo total: 92 cm / contorno de cadera: 92 cm / largo de tiro: 30 cm</p>",,"Cómodo pantalón vintage de color café y suave textura. De tiro alto, con cierre al costado, pinzas en la cintura y bolsillos delanteros.",12,12,12,Antonio Fusco,,"Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-CFE-2021003-006-9.jpg",NO,NO,disabled,PNT-CFE-2021003-006,0.405,1,NO,16000,color,café,selection,talla,XS,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Pantalón negro pura lana,<p><b>Descripción:</b> Elegante pantalón negro de tiro alto y pinzas delanteras. Tiene cierre invisible por el costado y botón. </p><p><b>Talla estimada:</b> XS</p><p><b>Talla etiqueta:</b> 42</p><p><b>Medidas:</b> contorno de cintura: 68 cm / largo total: 95 cm / contorno de cadera: 92 cm / largo de tiro: 32 cm</p><p><b>Composición:</b> 100% lana</p>,,Elegante pantalón negro de tiro alto y pinzas delanteras. Tiene cierre invisible por el costado y botón.,10,10,10,,,"Colecciones,Colecciones / Back to Basic,Productos,Productos / Pantalones & Jeans","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/PNT-NGR-2021003-007-9.jpg",NO,NO,disabled,PNT-NGR-2021003-007,0.23,1,NO,18000,color,negro,selection,talla,XS,selection,condición,usado,selection,Apparel & Accessories > Clothing > Pants
,Blusa básica azul,"<p><b>Descripción:</b> Liviana y fresca blusa de color azul. De corte sencillo, sin mangas, fácil de combinar. </p><p><b>Marca:</b> Fashion Network</p><p><b>Talla estimada:</b> M</p><p><b>Talla etiqueta:</b> M</p><p><b>Medidas:</b> contorno de busto: 94 cm / contorno de cintura: 92 cm / largo total: 62 cm</p>",,"Liviana y fresca blusa de color azul. De corte sencillo, sin mangas, fácil de combinar.",10,10,10,Fashion Network,,"Colecciones,Colecciones / Back to Basic,Productos,Productos / Blusas & Poleras","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-008-9.jpg",NO,NO,disabled,BLU-AZL-2021003-008,0.1,1,NO,10000,color,azul,selection,talla,M,selection,condición,usado,selection,Apparel & Accessories > Clothing > Shirts & Tops
,Blusa Mikal,"<p><b>Descripción:</b> Elegante blusa vintage de color azul, con vuelos en cuello y puños. </p><p><b>Marca:</b> Mikal-Alan</p><p><b>Talla estimada:</b> S</p><p><b>Talla etiqueta:</b> M</p><p><b>Medidas:</b> ancho de hombros: 36 cm / contorno de busto: 100 cm / contorno de cintura: 88 cm / largo de mangas: 61 cm / largo total: 55 cm</p><p><b>Composición:</b> 100% poliéster</p>",,"Elegante blusa vintage de color azul, con vuelos en cuello y puños.",10,10,10,Mikal-Alan,,"Productos,Productos / Blusas & Poleras","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-AZL-2021003-009-9.jpg",NO,NO,disabled,BLU-AZL-2021003-009,0.125,1,NO,16000,color,azul,selection,talla,S,selection,condición,usado,selection,Apparel & Accessories > Clothing > Shirts & Tops
,Blusa Carmen,"<p><b>Descripción:</b> Estilosa blusa roja, de cuello bote y corte ancho. </p><p><b>Marca:</b> La Grand Petit</p><p><b>Talla estimada:</b> L</p><p><b>Talla etiqueta:</b> 38</p><p><b>Medidas:</b> ancho de hombros: 45 cm / contorno de busto: 120 cm / contorno de cintura: 118 cm / largo de mangas: 59 cm / largo total: 63 cm</p><p><b>Composición:</b> 100% poliéster</p>",,"Estilosa blusa roja, de cuello bote y corte ancho.",10,10,10,La Grand Petit,,"Productos,Productos / Blusas & Poleras","https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-1.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-2.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-3.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-4.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-5.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-6.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-7.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-8.jpg,https://raw.githubusercontent.com/RamonOpazo/AmigasVntg_Catalog/master/AVC_2021_003/BLU-RJO-2021003-010-9.jpg",NO,NO,disabled,BLU-RJO-2021003-010,0.145,1,NO,14000,color,rojo,selection,talla,L,selection,condición,usado,selection,Apparel & Accessories > Clothing > Shirts & Tops
